"key", "en", "de", "fr", "es", "swe", "tr", "pl", "it", 
life_after,life after,Leben danach,la vie après,la vida después,Livet efter,SONRA HAYAT,życie po,la vita dopo
you_can_switch_choco_spiral,You can switch Choco Spiral with any candy on the game field.,Du kannst Choco Spiral mit jeder beliebigen Süßigkeit auf dem Spielfeld austauschen.,Vous pouvez échanger le Choco Spiral avec n'importe quel bonbon sur le terrain de jeu.,Puedes cambiar Choco Spiral con cualquier caramelo en el campo de juego.,Du kan byta Choco Spiral med vilket godis som helst på spelplanen.,Choco Spiral'i oyun alanındaki herhangi bir şekerle değiştirebilirsiniz.,Możesz zamienić Choco Spiral z dowolnym cukierkiem na polu gry.,È possibile scambiare Choco Spiral con qualsiasi caramella sul campo di gioco.
combine_an_item_above_the_jelly,Combine an item above the Jelly with others to spread Jelly more.,"Kombiniere einen Gegenstand oberhalb des Gelees mit anderen, um mehr Gelee zu verteilen.",Combinez un élément au-dessus de la gelée avec d'autres pour répandre davantage la gelée.,Combina un elemento sobre la gelatina con otros para esparcir más gelatina.,Kombinera ett föremål ovanför gelén med andra för att sprida gelén mer.,Jöleyi daha fazla yaymak için Jölenin üzerindeki bir öğeyi diğerleriyle birleştirin.,"Połącz przedmiot nad galaretką z innymi, aby rozprowadzić galaretkę bardziej.",Combina un elemento sopra la gelatina con altri per diffondere maggiormente la gelatina.
combine_4_candies_to_create,Combine 4 candies to create it. Striped candy can destroy all row.,"Kombiniere 4 Bonbons, um sie zu erstellen. Gestreifte Bonbons können alle Reihen zerstören.",Combinez 4 bonbons pour le créer. Le bonbon rayé peut détruire toutes les rangées.,Combina 4 caramelos para crearla. El caramelo rayado puede destruir toda la fila.,Kombinera 4 godis för att skapa den. Randigt godis kan förstöra alla rader.,Oluşturmak için 4 şekeri birleştirin. Çizgili şeker tüm sırayı yok edebilir.,"Połącz 4 cukierki, aby go stworzyć. Striped candy może zniszczyć cały rząd.",Combina 4 caramelle per crearla. La caramella a strisce può distruggere tutte le file.
combine_5_candies_like_below,Combine 5 candies like below to create it. Packaged candy can destroy all items around itself.,"Kombiniere 5 Bonbons wie unten, um sie zu erzeugen. Verpackte Bonbons können alle Gegenstände um sich herum zerstören.",Combinez 5 bonbons comme ci-dessous pour le créer. Les bonbons emballés peuvent détruire tous les objets qui les entourent.,Combina 5 caramelos como los de abajo para crearlo. El caramelo empaquetado puede destruir todos los objetos a su alrededor.,Kombinera 5 godis som nedan för att skapa den. Förpackat godis kan förstöra alla föremål runt omkring sig själv.,Oluşturmak için aşağıdaki gibi 5 şekeri birleştirin. Paketlenmiş şeker kendi etrafındaki tüm öğeleri yok edebilir.,"Połącz 5 cukierków jak poniżej, aby go stworzyć. Zapakowany cukierek może zniszczyć wszystkie przedmioty wokół siebie.",Combina 5 caramelle come quelle qui sotto per crearla. La caramella confezionata può distruggere tutti gli oggetti intorno a sé.
multicolor_candy,Multicolor CANDY,Mehrfarbige KANDIDEN,Bonbons multicolores,caramelo multicolor,Flerfärgat godis,Çok Renkli Şeker,Wielokolorowe cukierki,Caramelle multicolori
collect_the_items,Collect the items,Sammle die Gegenstände,Collectez les objets,Recoge los objetos,Samla in föremålen,Öğeleri toplayın,Zbierz przedmioty,Raccogliere gli oggetti
you_didnt_collect_the_items,You didn't collect the items,Du hast die Gegenstände nicht eingesammelt,Vous n'avez pas collecté les objets,No has recogido los objetos,Du har inte samlat in föremålen.,Eşyaları toplamadınız,Nie zebrałeś elementów,Non hai raccolto gli oggetti
collect_ingredients,Collect Ingredients,Sammle die Zutaten,Collecter les ingrédients,Recoge los ingredientes,Samla ingredienser,Malzemeleri Toplayın,Zbierz składniki,Raccogli gli ingredienti
you_didnt_collect_ingredients,You didn't collect the ingredients,Du hast die Zutaten nicht eingesammelt,Vous n'avez pas collecté les ingrédients,No has recogido los ingredientes,Du samlade inte in ingredienserna.,Malzemeleri toplamamışsın,Nie zebrałeś składników,Non hai raccolto gli ingredienti
destroy_sugar_squares,Destroy sugar squares,Zuckerquadrate zerstören,Détruire les carrés de sucre,Destruye los cuadrados de azúcar,Förstör sockerrutor,Şeker karelerini yok et,Zniszcz kwadraty z cukru,Distruggi i quadratini di zucchero
you_didnt_destroy_the_sugar,You didn't destroy the sugar squares,Du hast die Zuckerquadrate nicht zerstört,Vous n'avez pas détruit les carrés de sucre,No has destruido los cuadrados de azúcar,Du förstörde inte sockerrutorna,Şeker karelerini yok etmedin.,Nie zniszczyłeś kwadratów z cukru.,Non hai distrutto i quadratini di zucchero
spread_the_jelly,Spread the jelly everywhere,Verteile das Gelee überall,Répandre la gelée partout,Esparce la gelatina por todas partes,Sprid ut gelén överallt,Jöleyi her yere sürün,Rozprowadź wszędzie galaretkę,Spalma la gelatina ovunque
you_didnt_spread_the_jelly,You didn't spread the jelly,Du hast das Gelee nicht verteilt,Vous n'avez pas répandu la gelée,No has esparcido la gelatina,Du spred inte gelén,Jöleyi yaymamışsın.,Nie rozsmarowałeś galaretki,Non hai sparso la gelatina
destroy_solid_blocks,Destroy solid blocks,Feste Blöcke zerstören,Détruire les blocs solides,Destruir bloques sólidos,Förstör fasta block,Katı blokları yok et,Zniszcz stałe bloki,Distruggi i blocchi solidi
you_didnt_destroy_all_blocks,You didn't destroy all blocks,Du hast nicht alle Blöcke zerstört,Vous n'avez pas détruit tous les blocs,No has destruido todos los bloques,Du förstörde inte alla block,Bütün blokları yok etmedin.,Nie zniszczyłeś wszystkich bloków.,Non hai distrutto tutti i blocchi
gives_you_the_5_extra_moves,Gives you the 5 extra moves,Du bekommst die 5 Extrazüge,Vous donne les 5 coups supplémentaires,Te da 5 movimientos extra,Ger dig 5 extra drag,Size 5 ekstra hareket verir,Daje ci 5 dodatkowych ruchów,Ti dà le 5 mosse extra
places_a_package_item,Places a package item on the game field,Legt einen verpackten Gegenstand auf das Spielfeld,Place un objet en paquet sur le terrain de jeu,Coloca un objeto paquete en el campo de juego,Placerar ett paket på spelplanen.,Oyun alanına bir paket öğesi yerleştirir,Umieszcza na polu gry przedmiot w opakowaniu,Colloca un oggetto a pacchetto sul campo di gioco
places_a_striped_item,Places a striped item on the game field,Legt einen gestreiften Gegenstand auf das Spielfeld,Placer un objet rayé sur le terrain de jeu,Coloca un objeto rayado en el campo de juego,Placerar ett randigt föremål på spelplanen.,Oyun alanına çizgili bir öğe yerleştirir,Umieszcza element w paski na polu gry,Colloca un oggetto a strisce sul campo di gioco
gives_you_the_30,Gives you the 30 extra seconds,Gibt dir die 30 zusätzlichen Sekunden,Vous donne les 30 secondes supplémentaires,Te da 30 segundos extra,Ger dig 30 extra sekunder.,Size fazladan 30 saniye verir,Daje Ci 30 dodatkowych sekund,Dà 30 secondi in più
destroy_one_item,Destroys one item,Zerstört einen Gegenstand,Détruit un objet,Destruye un objeto,Förstör ett föremål.,Bir öğeyi yok eder,Zniszczy jeden element,Distrugge un oggetto
places_a_multicolor_item,Places a multicolor item on the game field,Legt einen mehrfarbigen Gegenstand auf das Spielfeld,Place un objet multicolore sur le terrain de jeu,Coloca un objeto multicolor en el campo de juego,Placerar ett mångfärgat föremål på spelplanen.,Oyun alanına çok renkli bir öğe yerleştirir,Umieszcza wielokolorowy przedmiot na polu gry,Posiziona un oggetto multicolore sul campo di gioco
free_item_switch,Free item switch,Freier Gegenstandstausch,Changement d'objet gratuit,Cambio de objeto libre,Gratis byte av föremål,Ücretsiz ürün değiştirme,Darmowy przełącznik przedmiotów,Scambio gratuito di oggetti
destroy_the_items_in_an_area,Destroys the items in an area,Zerstört die Gegenstände in einem Gebiet,Détruit les objets dans une zone,Destruye los objetos de un área,Förstör föremålen i ett område.,Bir alandaki öğeleri yok eder,Niszczy przedmioty znajdujące się na danym obszarze,Distrugge gli oggetti in un'area
places_a_marmalade,Places a marmalade item on the game field,Legt einen Marmeladengegenstand auf das Spielfeld,Place un objet marmelade sur le terrain de jeu.,Coloca un objeto de mermelada en el campo de juego,Placerar ett marmeladföremål på spelplanen.,Oyun alanına bir marmelat öğesi yerleştirir,Umieszcza na polu gry przedmiot w kolorze marmolady.,Mette un oggetto di marmellata sul campo di gioco
PLAY,PLAY,SPIELEN,JOUER,JUGAR,SPEL,OYUN,PLAY,GIOCARE
privacy,Privacy,Datenschutz,Confidentialité,Privacidad,Integritet,Gizlilik,Prywatność,Privacy
loading,Loading...,Laden...,Chargement...,Cargando...,Laddar...,Yükleniyor...,Ładowanie...,Caricamento...
TIME,TIME,ZEIT,TEMPS,TIEMPO,TIME,ZAMAN,TIME,TEMPO
Bomb,Bomb,Bombe,Bombe,Bomba,Bomb,Bomba,Bomba,Bomba
fre_moves,Free move,Freie Bewegung,Mouvement libre,Movimiento libre,Fria rörelser,Serbest hareket,Swobodny ruch,Mossa libera
explodes_area,Explodes area,Explodiert Bereich,Explose la zone,Explota la zona,Exploderar området,Alanı patlatır,Wybuchnie obszar,Esplode in un'area
marmalade,Marmalade,Marmelade,Marmelade,Mermelada,Marmelad,Marmelat,Marmolada,Marmellata
free,Free,Frei,Gratuit,Gratis,Gratis,Ücretsiz,Darmowy,Gratuito
get_at_least_one_star,Get at least one star,Mindestens einen Stern erhalten,Obtenir au moins une étoile,Consigue al menos una estrella,Få minst en stjärna,En az bir yıldız alın,Zdobądź co najmniej jedną gwiazdkę,Ottieni almeno una stella
you_didnt_get_a_star,You didn't get a star,Du hast keinen Stern bekommen,Tu n'as pas obtenu d'étoile,No has conseguido ninguna estrella,Du fick ingen stjärna,Bir yıldız alamadın.,Nie dostałeś gwiazdki,Non hai ottenuto una stella
you_got_the_boost,You got the boost,Du hast den Boost bekommen,Tu as eu le boost,Has conseguido el impulso,Du fick en boost,Destek aldın,Dostałeś impuls,Hai ottenuto la spinta
you_got_life,You got life,Du hast Leben,Tu as la vie,Has conseguido vida,Du fick liv,Hayatın var,Masz życie,Hai ottenuto la vita
coins,Coins,Münzen,Pièces,Monedas,Mynt,Madeni Paralar,Monety,Monete
life,Life,Leben,Vie,Vida,Liv,Yaşam,Życie,Vita
level,Level,Level,Niveau,Nivel,Nivå,Seviye,Poziom,Livello
tab_to_skip,Tap to Skip,Tippen Sie zum Überspringen,Tapez pour passer,Toca para saltar,Tryck för att hoppa över,Atlamak için dokunun,"Stuknij, aby pominąć",Tocca per saltare
"perfect_run", "Perfect run", "Perfektes Spiel", "Jeu parfait", "Juego perfecto", "Perfekt spel", "Mükemmel oyun", "Doskonała gra", "Gioco perfetto",
"new_level", "New","Neu", "Nouveau", "Nuevo", "Ny", "Yeni","Nowy","Nuovo",
"limited_moves", "Limited Moves", "Begrenze Aktionen", "Moves limités", "Movimientos limitados", "Begränsade rörelser", "Sınırlı Hareketler", "Ograniczone ruchy", "Ograniczone ruchy",
"timed_run", "Timed run", "Zeitlich limitiert!", "Chronométré", "Cronometrado", "Tidsinställd", "Zamanlanmış", "czasowy", "temporizzato",
"float_marker", ".", ",", ".", ",", ",", ".", ",", ",",
"thousand_marker", "k", "tsd", "mil", "mil", "tus", "bin", "tys", "mil",
"play_button", "Play", "Start", "Jouer", "Jugar", "Spela", "Oyun", "Odtwórz", "Gioco",
"choose_level", "Choose a level", "Suche ein Level aus", "Choisissez un niveau", "Elija un nivel", "Välj en nivå", "Bir seviye seçin", "Wybierz poziom", "Scegliere un livello",
"first_select_level", "First select a level", "Klicke zuerst ein Level an", "Sélectionnez d'abord une niveau", "Seleccione primero una etapa", "Välj först en etapp","Önce bir aşama seçin", "Najpierw wybierz etap", "Selezionare un livello",
"sound_setting", "Sound", "Ton", "Son", "Sonar", "ljud", "ses", "dźwięk", "suono",
"animation_setting", "Animation", "Animation", "L'animation", "Animación", "Animation", "Animasyon", "Animacja", "Animazione",
"display_setting", "Screen", "Bildschirm", "Écran", "Pantalla", "Skärm", "Ekran", "Ekran", "Schermo",
"message_setting", "Message", "Nachricht", "Message", "Mensaje", "Meddelande", "Mesaj", "Wiadomość", "Messaggio",
"master_volume_setting", "Master volume", "Gesamtlautstärke", "Volume maître", "Volumen maestro", "Huvudvolym", "Ana ses seviyesi", "Głośność główna", "Volume master",
"music_volume_setting", "Music volume", "Musiklautstärke", "Volume musical", "Volumen musical", "Musikvolym", "Müzik sesi", "Głośność muzyki", "Volume musicale",
"sfx_volume_setting", "Effect volume", "Effektlautstärke", "Volume des effets", "Efecto volumen", "Effektvolym", "Efekt hacmi", "Głośność efektu", "Volume effetto",
"ui_volume_setting", "UI volume", "UI-Lautstärke", "UI volume sonore", "Volumen de IU","UI-volym", "UI hacmi", "Wielkość UI","Volume UI",
"texture_quality_setting", "Texture quality", "Textur Qualität", "Qualité de texture", "Calidad de textura", "Texturkvalitet", "Doku kalitesi", "Jakość tekstury", "Qualità della texture",
"effect_quality_setting", "Effect quality", "Effekt Qualität", "Qualité des effets", "Calidad del efecto", "Effektkvalitet", "Etki kalitesi", "Jakość efektu", "Qualità dell'effetto",
"colorblind_setting", "Colorblind", "Farbschwäche", "Daltonien", "Daltónico", "Färgblind", "Renk körü", "Slepy kolor", "daltonico",
"swipe_resistance_setting", "Swipe resistance", "Swipe-Widerstand", "Résistance au frottement", "Resistencia al deslizamiento", "Motstånd mot strykningar", "Kaydırma direnci", "Odporność na machnięcia", "Resistenza alle strisciate",
"animation_speed_setting", "Animation speed", "Animationsgeschwindigkeit", "Vitesse d'animation", "Velocidad de animación", "Animationens hastighet", "Animasyon hızı", "Prędkość animacji", "Velocità di animazione",
"swap_back_speed_setting", "Swap-Back speed", "Swap-Back Geschwindigkeit", "Vitesse d'échange", "Velocidad de retroceso", "Hastighet för byte tillbaka", "Geri takas hızı", "Szybkość wymiany wstecznej", "Velocità di swap-back",
"refill_delay_setting", "Refill delay", "Nachfüllverzögerung", "Délai de réapprovisionnement", "Retardo de rellenado", "Fördröjning av påfyllning", "Dolum gecikmesi", "opóźnienie uzupełnienia", "Ritardo di ricarica" ,
"shuffle_delay_setting", "Shuffle delay", "Mischverzögerung", "Retard de mélange", "Retardo de mezcla", "Blandningsfördröjning", "Karıştırma gecikmesi", "Opóźnienie mieszania", "Ritardo di miscelazione",
"vibration_setting", "Vibration", "Vibration", "Vibration", "Vibración", "Vibrationer", "Titreşim", "Wibracje", "Vibrazioni",
"goal", "Goal", "Ziel", "Objectif", "Objetivo", "Mål", "Hedef", "Goal", "Obiettivo",
"goals_panel", "Goals:", "Ziele: ", "Objectifs:", "Objetivos: ", "Mål: ", "Hedefler: ", "Cele: ", "Obiettivi: ",
"score", "Score", "Punktzahl", "Score", "Puntuación", "Poäng", "Skor", "Wynik", "Punteggio",
"row", "Row", "Reihe", "Rangée", "Fila", "Rad", "Sıra", "Wersz", "Fila",
"column", "Column", "Spalte", "Colonne", "Columna", "Kolumn", "Sütun", "Kolumna", "Colonna",
"bomb", "Bomb", "Bombe", "Bombe", "Bomba", "Bomb", "Bomba", "Bomba", "Bomba",
"bombs", "Bombs", "Bomben", "Bombes", "Bombas", "Bomber", "Bombalar", "bomby", "bombe",
"fruit", "Fruit", "Frucht", "Fruit", "Fruta", "Frukt", "Meyve", "Owoce", "Frutta",
"Fruit", "Fruit", "Frucht", "Fruit", "Fruta", "Frukt", "Meyve", "Owoce", "Frutta",
"fruits", "Fruits", "Früchte", "Fruits", "Frutas", "Frukter", "Meyveler", "Owoce", "Frutta",
"color", "Color", "Farbe", "Couleur", "Color", "Färg", "Renk", "kolor", "Colore",
"home_setting", "To level select", "Zur Levelauswahl", "Vers le choix du niveau", "A la selección de nivel", "Seviye seçimine", "Till val av nivå", "Do wyboru poziomu", "Alla selezione del livello",
"highscore", "Highscore", "Höchstpunktzahl", "Score élevé", "Alta puntuación", "Hög oäng", "Yüksek puan", "Wysoki wynik", "Punteggio elevato",
"minutes", "Minutes", "Minuten", "Minutes", "Minutas", "Minut", "dakika", "Protokół", "Minuto",
"hour", "Hour", "Stunde", "Heure", "Hora", "Timme", "Saat", "Godzina", "Ora",
"general_setting", "General", "Allgemein", "Général", "General", "Allmän", "Genel", "Ogólne", "Generale",
"archieve_setting", "Archieve", "Erreichen", "Archivage", "Archivo", "Arkivering", "ARŞİVLEME", "Archiwizacja", "Archivio",
"luck_setting", "Luck", "Glück", "Chance", "Suerte", "Tur", "Şans", "Szczęście", "Fortuna",
"board_setting", "Board", "Brett", "Planche", "Junta", "Styrelse", "Tahta", "Tablica", "Bordo",
"tiles_setting", "Tiles", "Felder", "Tuiles", "Tejas", "Plattor", "Fayans", "Płytki", "Piastrelle",
layout_setting,Layout,Layout,Mise en page,Diseño,Layout,Düzen,Układ,Layout,
"restart_level", "Restart Level", "Level Neustart", "Redémarrage", "Reinicio", "Omstart", "Yeniden Başlat", "Restartu", "Riavvio",
"moves", "Moves", "Züge", "Mouvements", "Mueve", "Flyttar", "Hareketler", "Ruchy", "Movimenti",
"time","Time", "Zeit", "Temps", "Tiempo", "Tid", "Zaman","Czas", "Tempo",
"ok_button", "Okay", "Okay", "D'accord", "Vale", "Okej", "Tamam", "Dobra", "Ok",
activate_hor_bombs, "Horizontal bombs", "Horizontale Bomben", "Bombes horizontales", "Bombes horizontales", "Horisontella bomber", "Yatay bombaları",Bomb poziomych,Bombe orizzontali,
activate_vert_bombs, "Vertical bombs", "Verticale Bomben", "Bombes verticales", "Bombas verticales", "Vertikala bomber", "Dikey bombaları",Bomb pionowych,Bombe verticali,
activate_diag_bombs, "Diagonal bombs", "Diagonale Bomben", "Bombes diagonales", "Bombas diagonales", "Diagonala bomber", "Çapraz bombaları",Bomb ukośnych,Bombe diagonali,
activate_fruit_bombs, "Same fruits bombs", "Selbe Frucht-Bombe", "Bombes de fruits", "Bombas de fruta", "Fruktbomber", "Meyve bombalarını",Bomby owocowe,Bbombe di frutta,
activate_color_bombs,Same color bombs,Selbe Farbe-Bombe, "Bombes de même couleur", "Bombas mismo color", "Bomber av samma färg", "Aynı renk bombaları",Bomby tego samego koloru, "Bombe dello stesso colore",
bombs_enabled, "Bombs enabled", "Bomben erlaubt", "Bombes activées",Bombas activadas, "Bomber aktiverade",Bombalar etkinleştirildi,Bomby włączone,Bombe abilitate,
"stars", "Stars", "Sterne", "Etoiles", "Estrellas", "Stjärnor", "Yıldızlar", "Gwiazdy", "Stelle",
"trophy", "Trophy", "Trophäe", "Trophée", "Trofeo", "Trofé", "Kupa", "Trofeum", "Trofeo",
"points_needed", "Points needed", "Punkte benötigt", "Points requis", "puntos necesarios", "Poäng behövs", "Puan gerekli", "Potrzebne punkty", "Punti necessari",
"need_for_next_level", "Need to get to next level", "Für das nächste Level benötigt", "Le niveau suivant nécessite", "Para el siguiente nivel necesitas", "Bir sonraki seviye için ihtiyacınız olan", "Do następnego poziomu potrzebujesz", "Per il livello successivo è necessario",
